@RELATION PBDNN

@ATTRIBUTE NN-5	numeric
@ATTRIBUTE NN-4	numeric
@ATTRIBUTE NN-3	numeric
@ATTRIBUTE NN-2	numeric
@ATTRIBUTE NN-1	numeric
@ATTRIBUTE NN0	numeric
@ATTRIBUTE NN1	numeric
@ATTRIBUTE NN5	numeric
@ATTRIBUTE NN6	numeric
@ATTRIBUTE NN7	numeric
@ATTRIBUTE NN8	numeric
@ATTRIBUTE NN9	numeric
@ATTRIBUTE NN10	numeric
@ATTRIBUTE class	numeric

@DATA
-1.840000000, -1.440000000, -1.000000000, -1.450000000, -1.840000000, -1.440000000, -4.600000000, -1.280000000, -1.000000000, -0.580000000, -1.000000000, -1.000000000, -0.880000000, 1840.406250000
-1.000000000, -0.580000000, -1.280000000, -1.440000000, -1.000000000, -1.000000000, -5.160000000, -1.000000000, -0.580000000, -1.440000000, -1.280000000, -1.300000000, -1.280000000, 3039.494791667
-1.440000000, -1.840000000, -1.280000000, -1.450000000, -1.440000000, -1.450000000, -4.740000000, -1.450000000, -1.440000000, -1.000000000, -0.580000000, -0.880000000, -1.450000000, 1739.312500000
-1.840000000, -2.240000000, -1.840000000, -1.280000000, -0.580000000, -1.000000000, -7.690000000, -1.840000000, -1.450000000, -1.440000000, -1.840000000, -1.840000000, -1.280000000, 736.239583333
-1.840000000, -1.840000000, -2.240000000, -1.280000000, -0.580000000, -1.440000000, -5.780000000, -1.840000000, -2.170000000, -2.240000000, -1.840000000, -1.840000000, -1.840000000, 1309.119791667
-1.450000000, -2.240000000, -1.280000000, -0.580000000, -1.000000000, -1.000000000, -4.740000000, -1.840000000, -1.450000000, -1.280000000, -1.440000000, -1.000000000, -0.580000000, 2755.197916667
-1.840000000, -2.170000000, -1.840000000, -1.840000000, -1.440000000, -1.000000000, -5.310000000, -0.880000000, -1.300000000, -1.840000000, -1.280000000, -1.000000000, -0.580000000, 1752.744791667
-1.450000000, -1.440000000, -1.280000000, -0.580000000, -1.440000000, -1.280000000, -5.470000000, -0.580000000, -1.440000000, -1.280000000, -1.300000000, -1.840000000, -1.840000000, 1802.380208333
-1.280000000, -1.450000000, -2.240000000, -1.450000000, -1.440000000, -2.170000000, -3.760000000, -1.440000000, -1.840000000, -1.840000000, -1.450000000, -1.000000000, -0.880000000, 2648.416666667
-1.280000000, -1.300000000, -1.000000000, -1.280000000, -1.300000000, -0.880000000, -4.750000000, -1.280000000, -2.240000000, -1.280000000, -1.450000000, -1.840000000, -2.240000000, 3446.000000000
