@RELATION PBDNN

@ATTRIBUTE NN-5	numeric
@ATTRIBUTE NN-4	numeric
@ATTRIBUTE NN-3	numeric
@ATTRIBUTE NN-2	numeric
@ATTRIBUTE NN-1	numeric
@ATTRIBUTE NN0	numeric
@ATTRIBUTE NN1	numeric
@ATTRIBUTE NN5	numeric
@ATTRIBUTE NN6	numeric
@ATTRIBUTE NN7	numeric
@ATTRIBUTE NN8	numeric
@ATTRIBUTE NN9	numeric
@ATTRIBUTE NN10	numeric
@ATTRIBUTE class	numeric

@DATA
-1.300000000, -1.450000000, -1.000000000, -1.440000000, -1.450000000, -1.280000000, -5.970000000, -2.240000000, -1.450000000, -1.000000000, -1.000000000, -1.440000000, -1.450000000, 119.489583333
-1.840000000, -1.840000000, -1.440000000, -1.450000000, -1.440000000, -1.000000000, -5.590000000, -1.000000000, -1.000000000, -1.000000000, -0.880000000, -1.300000000, -1.840000000, 195.770833333
-1.300000000, -1.280000000, -1.300000000, -1.280000000, -1.000000000, -0.580000000, -5.300000000, -1.300000000, -1.280000000, -1.000000000, -1.000000000, -0.580000000, -0.880000000, 243.989583333
-1.000000000, -1.440000000, -1.280000000, -1.450000000, -1.440000000, -1.450000000, -5.020000000, -1.300000000, -1.840000000, -1.840000000, -1.840000000, -2.170000000, -1.440000000, 195.583333333
-2.240000000, -1.840000000, -1.280000000, -1.000000000, -0.580000000, -0.880000000, -6.210000000, -2.170000000, -1.840000000, -1.840000000, -2.240000000, -1.450000000, -1.280000000, 162.593750000
-1.300000000, -1.280000000, -1.000000000, -1.000000000, -0.580000000, -0.880000000, -3.460000000, -0.580000000, -1.280000000, -1.300000000, -1.280000000, -1.440000000, -1.450000000, 1360.822916667
-1.000000000, -1.000000000, -1.280000000, -2.240000000, -1.840000000, -1.280000000, -4.630000000, -1.000000000, -1.300000000, -1.450000000, -1.440000000, -2.170000000, -1.840000000, 236.395833333
-1.450000000, -0.880000000, -1.450000000, -1.840000000, -1.300000000, -1.000000000, -4.300000000, -0.880000000, -0.580000000, -1.440000000, -1.840000000, -2.170000000, -1.300000000, 377.239583333
-2.170000000, -1.300000000, -1.000000000, -1.000000000, -1.000000000, -1.440000000, -8.090000000, -1.450000000, -1.280000000, -2.240000000, -1.450000000, -1.280000000, -1.840000000, 57.812500000
-1.450000000, -2.240000000, -1.280000000, -0.580000000, -1.280000000, -1.840000000, -5.140000000, -0.880000000, -1.000000000, -0.580000000, -1.000000000, -1.280000000, -1.300000000, 183.041666667
-1.300000000, -0.880000000, -1.450000000, -1.440000000, -1.000000000, -1.450000000, -6.270000000, -0.880000000, -1.000000000, -0.580000000, -1.000000000, -1.280000000, -1.300000000, 162.119791667
-1.440000000, -2.170000000, -1.440000000, -1.450000000, -1.300000000, -1.000000000, -5.350000000, -2.240000000, -1.280000000, -0.580000000, -1.000000000, -0.880000000, -1.300000000, 227.515625000
-1.300000000, -1.840000000, -1.450000000, -1.440000000, -2.170000000, -2.240000000, -5.570000000, -1.840000000, -1.300000000, -1.440000000, -2.170000000, -1.300000000, -1.000000000, 77.125000000
-1.440000000, -1.450000000, -1.000000000, -1.000000000, -0.880000000, -1.000000000, -7.370000000, -1.280000000, -1.000000000, -0.580000000, -1.000000000, -1.440000000, -1.840000000, 134.859375000
-1.450000000, -2.240000000, -1.450000000, -0.880000000, -0.580000000, -1.280000000, -6.030000000, -1.280000000, -2.240000000, -2.170000000, -2.240000000, -1.450000000, -1.440000000, 129.260416667
-2.240000000, -1.280000000, -0.580000000, -1.440000000, -1.450000000, -1.000000000, -5.330000000, -2.170000000, -2.240000000, -2.170000000, -2.240000000, -1.840000000, -2.170000000, 229.161458333
-1.000000000, -1.000000000, -0.880000000, -1.300000000, -1.450000000, -1.440000000, -6.260000000, -1.450000000, -1.000000000, -1.000000000, -0.880000000, -1.450000000, -1.300000000, 77.385416667
-1.300000000, -1.440000000, -1.280000000, -1.000000000, -1.300000000, -1.840000000, -7.300000000, -1.840000000, -1.450000000, -1.000000000, -1.280000000, -1.840000000, -1.300000000, 33.354166667
-1.000000000, -1.440000000, -2.170000000, -2.240000000, -2.170000000, -2.240000000, -6.750000000, -1.450000000, -1.440000000, -1.840000000, -2.170000000, -1.440000000, -1.000000000, 28.640625000
-1.000000000, -0.880000000, -1.000000000, -1.000000000, -1.450000000, -1.440000000, -3.760000000, -1.450000000, -1.280000000, -1.300000000, -1.000000000, -1.440000000, -1.280000000, 512.416666667
-1.440000000, -1.840000000, -2.170000000, -1.440000000, -1.450000000, -1.840000000, -6.360000000, -0.580000000, -0.880000000, -1.300000000, -2.170000000, -1.300000000, -1.440000000, 64.932291667
-1.840000000, -1.300000000, -0.880000000, -0.580000000, -0.880000000, -1.000000000, -3.580000000, -0.880000000, -0.580000000, -1.000000000, -0.880000000, -1.000000000, -0.580000000, 1258.270833333
-1.280000000, -1.450000000, -1.440000000, -1.450000000, -1.300000000, -1.440000000, -4.330000000, -1.000000000, -1.450000000, -2.240000000, -1.840000000, -1.840000000, -1.280000000, 395.828125000
