@RELATION PBDNN

@ATTRIBUTE NN-5	numeric
@ATTRIBUTE NN-4	numeric
@ATTRIBUTE NN-3	numeric
@ATTRIBUTE NN-2	numeric
@ATTRIBUTE NN-1	numeric
@ATTRIBUTE NN0	numeric
@ATTRIBUTE NN1	numeric
@ATTRIBUTE NN10	numeric
@ATTRIBUTE NN11	numeric
@ATTRIBUTE NN12	numeric
@ATTRIBUTE NN13	numeric
@ATTRIBUTE NN14	numeric
@ATTRIBUTE NN15	numeric
@ATTRIBUTE class	numeric

@DATA
-1.840000000, -2.170000000, -2.240000000, -2.170000000, -2.240000000, -1.280000000, -11.990000000, -1.300000000, -1.280000000, -0.580000000, -1.440000000, -1.280000000, -1.300000000, 0.255208333
-1.000000000, -1.000000000, -1.000000000, -0.580000000, -0.880000000, -0.580000000, -9.880000000, -0.880000000, -1.300000000, -1.280000000, -1.000000000, -1.300000000, -1.280000000, 6.666666667
-0.880000000, -1.000000000, -1.450000000, -1.440000000, -1.450000000, -2.240000000, -10.440000000, -1.450000000, -1.280000000, -1.440000000, -1.000000000, -0.580000000, -1.000000000, 0.416666667
-1.840000000, -1.280000000, -1.300000000, -1.450000000, -1.000000000, -1.000000000, -12.380000000, -1.280000000, -1.450000000, -1.440000000, -1.300000000, -1.280000000, -1.450000000, 0.270833333
-1.000000000, -1.000000000, -1.440000000, -1.280000000, -1.450000000, -1.840000000, -14.630000000, -1.840000000, -1.450000000, -1.440000000, -1.840000000, -1.840000000, -1.280000000, 0.000000000
-1.300000000, -1.280000000, -1.300000000, -1.000000000, -1.280000000, -1.840000000, -12.410000000, -1.450000000, -1.000000000, -1.000000000, -0.880000000, -1.000000000, -1.450000000, 1.166666667
-2.170000000, -2.240000000, -1.280000000, -0.580000000, -1.280000000, -1.840000000, -15.350000000, -1.280000000, -2.240000000, -1.840000000, -2.170000000, -1.300000000, -1.000000000, 0.000000000
-1.840000000, -1.300000000, -0.880000000, -1.450000000, -1.840000000, -1.840000000, -12.770000000, -1.450000000, -2.240000000, -1.280000000, -1.450000000, -1.840000000, -2.240000000, 0.359375000
-0.580000000, -0.880000000, -1.450000000, -1.300000000, -0.880000000, -0.580000000, -8.460000000, -1.280000000, -2.240000000, -2.170000000, -1.840000000, -1.440000000, -1.450000000, 13.880208333
-2.240000000, -1.450000000, -1.000000000, -1.000000000, -1.440000000, -1.450000000, -15.230000000, -1.300000000, -1.840000000, -2.170000000, -1.840000000, -2.240000000, -1.450000000, 0.000000000
