@RELATION PBDNN

@ATTRIBUTE NN-5	numeric
@ATTRIBUTE NN-4	numeric
@ATTRIBUTE NN-3	numeric
@ATTRIBUTE NN-2	numeric
@ATTRIBUTE NN-1	numeric
@ATTRIBUTE NN0	numeric
@ATTRIBUTE NN1	numeric
@ATTRIBUTE NN5	numeric
@ATTRIBUTE NN6	numeric
@ATTRIBUTE NN7	numeric
@ATTRIBUTE NN8	numeric
@ATTRIBUTE NN9	numeric
@ATTRIBUTE NN10	numeric
@ATTRIBUTE class	numeric

@DATA
-1.300000000, -2.170000000, -1.300000000, -1.440000000, -2.170000000, -1.840000000, -6.810000000, -2.240000000, -1.450000000, -1.440000000, -1.840000000, -1.450000000, -1.280000000, 4.333333333
-1.440000000, -1.300000000, -1.280000000, -1.000000000, -1.450000000, -2.240000000, -6.810000000, -1.840000000, -1.280000000, -1.000000000, -1.300000000, -2.170000000, -1.840000000, 6.635416667
-1.840000000, -1.300000000, -1.440000000, -1.280000000, -0.580000000, -1.000000000, -4.330000000, -2.240000000, -2.170000000, -2.240000000, -1.280000000, -1.300000000, -1.450000000, 62.453125000
-2.170000000, -1.300000000, -1.000000000, -1.000000000, -1.280000000, -1.300000000, -5.170000000, -1.440000000, -1.300000000, -1.280000000, -1.000000000, -0.580000000, -1.000000000, 27.265625000
-1.840000000, -1.280000000, -1.450000000, -2.240000000, -1.450000000, -1.000000000, -3.900000000, -1.280000000, -1.450000000, -1.440000000, -1.300000000, -1.450000000, -1.440000000, 46.916666667
-1.280000000, -2.240000000, -2.170000000, -1.300000000, -1.280000000, -1.840000000, -5.820000000, -1.450000000, -1.440000000, -1.840000000, -1.450000000, -1.280000000, -1.840000000, 11.411458333
-2.170000000, -1.840000000, -1.300000000, -1.000000000, -1.280000000, -2.240000000, -6.010000000, -1.450000000, -1.840000000, -1.300000000, -0.880000000, -0.580000000, -1.280000000, 8.067708333
-0.580000000, -1.280000000, -1.840000000, -1.300000000, -1.440000000, -2.170000000, -6.970000000, -2.170000000, -1.300000000, -1.280000000, -2.240000000, -1.840000000, -2.170000000, 4.531250000
-1.280000000, -1.000000000, -1.000000000, -1.300000000, -2.170000000, -1.840000000, -7.300000000, -2.240000000, -2.170000000, -1.440000000, -0.580000000, -1.000000000, -1.280000000, 1.562500000
-1.000000000, -1.000000000, -1.000000000, -1.300000000, -2.170000000, -2.240000000, -7.290000000, -0.580000000, -0.880000000, -1.300000000, -1.280000000, -1.450000000, -1.440000000, 4.817708333
-1.300000000, -1.280000000, -1.840000000, -1.300000000, -0.880000000, -1.450000000, -5.980000000, -1.440000000, -2.170000000, -1.840000000, -1.440000000, -1.300000000, -1.280000000, 9.473958333
-1.000000000, -1.000000000, -0.880000000, -1.000000000, -1.450000000, -2.240000000, -5.960000000, -1.000000000, -1.300000000, -1.450000000, -1.280000000, -1.440000000, -1.450000000, 8.593750000
