@RELATION PBDNN

@ATTRIBUTE NN-5	numeric
@ATTRIBUTE NN-4	numeric
@ATTRIBUTE NN-3	numeric
@ATTRIBUTE NN-2	numeric
@ATTRIBUTE NN-1	numeric
@ATTRIBUTE NN0	numeric
@ATTRIBUTE NN1	numeric
@ATTRIBUTE NN10	numeric
@ATTRIBUTE NN11	numeric
@ATTRIBUTE NN12	numeric
@ATTRIBUTE NN13	numeric
@ATTRIBUTE NN14	numeric
@ATTRIBUTE NN15	numeric
@ATTRIBUTE class	numeric

@DATA
-1.840000000, -1.300000000, -1.000000000, -1.280000000, -2.240000000, -1.840000000, -11.500000000, -1.300000000, -1.280000000, -1.840000000, -1.840000000, -1.440000000, -0.580000000, 15.223958333
-2.240000000, -1.450000000, -1.000000000, -0.880000000, -0.580000000, -1.280000000, -13.270000000, -1.840000000, -2.240000000, -1.280000000, -1.300000000, -2.170000000, -1.440000000, 18.723958333
-1.840000000, -1.440000000, -1.300000000, -1.840000000, -1.280000000, -1.300000000, -14.830000000, -1.840000000, -1.840000000, -1.440000000, -1.450000000, -2.240000000, -1.840000000, 4.854166667
-1.000000000, -0.880000000, -0.580000000, -1.000000000, -0.880000000, -1.000000000, -11.870000000, -1.300000000, -1.840000000, -1.450000000, -1.440000000, -1.450000000, -1.000000000, 55.140625000
-1.450000000, -2.240000000, -1.450000000, -0.880000000, -1.300000000, -1.450000000, -13.430000000, -2.170000000, -1.300000000, -0.880000000, -0.580000000, -1.000000000, -1.440000000, 20.645833333
-1.840000000, -1.840000000, -1.440000000, -1.450000000, -2.240000000, -1.840000000, -12.300000000, -1.440000000, -1.450000000, -1.280000000, -2.240000000, -2.170000000, -2.240000000, 12.843750000
-1.840000000, -1.300000000, -1.280000000, -2.240000000, -1.840000000, -2.170000000, -11.270000000, -1.000000000, -1.280000000, -2.240000000, -1.450000000, -1.000000000, -1.440000000, 43.447916667
-1.280000000, -1.840000000, -1.840000000, -1.840000000, -2.240000000, -2.170000000, -16.410000000, -2.170000000, -1.840000000, -1.840000000, -1.840000000, -1.440000000, -1.450000000, 0.895833333
-2.240000000, -1.450000000, -0.880000000, -1.300000000, -1.450000000, -0.880000000, -14.720000000, -1.300000000, -0.880000000, -0.580000000, -1.000000000, -1.440000000, -1.840000000, 13.984375000
-2.240000000, -2.170000000, -2.240000000, -1.840000000, -1.280000000, -1.450000000, -13.910000000, -2.170000000, -1.440000000, -1.000000000, -1.300000000, -1.840000000, -2.170000000, 2.947916667
-0.880000000, -1.450000000, -1.840000000, -1.840000000, -1.300000000, -1.000000000, -14.160000000, -1.280000000, -1.450000000, -1.840000000, -2.240000000, -1.840000000, -1.280000000, 12.343750000
-1.440000000, -1.000000000, -1.300000000, -1.280000000, -1.000000000, -1.300000000, -11.350000000, -1.280000000, -0.580000000, -1.440000000, -1.840000000, -1.280000000, -1.300000000, 28.937500000
-1.450000000, -1.280000000, -1.440000000, -1.300000000, -1.840000000, -1.280000000, -12.550000000, -1.450000000, -1.000000000, -1.000000000, -0.880000000, -1.000000000, -1.450000000, 11.916666667
-2.170000000, -2.240000000, -1.280000000, -1.450000000, -1.840000000, -2.240000000, -13.230000000, -0.880000000, -1.450000000, -1.840000000, -1.440000000, -1.000000000, -1.000000000, 19.343750000
-2.170000000, -2.240000000, -1.840000000, -2.170000000, -2.240000000, -1.450000000, -11.210000000, -1.280000000, -1.300000000, -1.840000000, -1.840000000, -1.840000000, -2.170000000, 22.265625000
-1.440000000, -1.450000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -13.280000000, -1.280000000, -1.840000000, -1.440000000, -1.000000000, -1.450000000, -1.840000000, 26.177083333
